"转债代码","转债名称","交易日期","开盘价","最高价","最低价","最新价","涨跌幅","5日涨跌幅","正股名称","正股最高价","正股最低价","正股最新价","正股涨跌幅","正股5日涨跌幅","成交量(手)","成交额(万)","年化波动率","正股年化波动率","股息率","转股价值","转股溢价率","理论转股溢价率","修正转股溢价率","纯债价值","纯债溢价率","期权价值","理论价值","理论偏离度","双低","剩余规模(亿)","剩余市值(亿)","换手率","市净率","市盈率_ttm","市销率_ttm","正股流通市值(亿)","正股总市值（亿）","资产负债率","转债市占比","上市天数","转股截止日","剩余年限","到期收益率(税前)","强赎触发比例","外部评级","三方评级","企业类型","地域","一级行业","二级行业","三级行业","转股溢价率_得分","收盘价_得分","赎回状态","总分","排名"
"123151.SZ","康医转债","2024-05-20","104.821","105.332","104.56","105.2","0.004132980805024555","0.0012753888073329112","康泰医学","16.37","16.03","16.04","-0.003726708074534346","-0.020757020679458726","6346.3","667.3140821000001","0.09047238898117108","0.2973944658784991","0.007793","57.081850533807824","0.8429675810473818","0.9541643943477873","-0.11119681330040554","93.87933465582968","0.12058740494564568","5.234860739204057","99.11419539503373","0.05784985365937523","189.49675810473818","6.998304","7.362215808000001","0.009064038592496526","3.1915","97844.6176","13.5007","40.351672730000004","64.44916350999999","0.3386569754955683","0.11423291485944068","671","2028-06-30","4.117808219178082","0.035962641672690865","1.3","A+","","民营企业","河北","医药生物","医疗器械","医疗器械","113","468.5","0/15 | 30","581.5","154"
"123229.SZ","艾录转债","2024-05-20","124.112","127.088","124.032","125.5","0.014198782961460488","0.0032856606524871435","上海艾录","11.27","10.78","11","0.020408163265306145","0.013824884938334892","28584.8","3595.0069582","0.6629448317836616","0.4100876229462253","0.003636","108.37438423645321","0.15802272727272726","0.15859918161871245","-0.000576454345985189","84.45716962801107","0.4859602867673729","46.53420352793584","130.99137315594692","-0.04375596140196736","141.30227272727274","4.99973","6.27466115","0.0572940414192725","3.7031","45.5421","3.9577","26.32505964","44.04337938","0.5482350870219364","0.14246547922363353","183","2029-10-22","5.4301369863013695","-0.006680802045096792","1.3","A+","8","民营企业","上海","轻工制造","造纸印刷","包装印刷","447","134","0/15 | 30","581","155"
"123142.SZ","申昊转债","2024-05-20","99.996","100.594","99.783","99.892","-0.00007007077147924701","0.013308987638505076","申昊科技","16.75","16.35","16.42","0.0092194222495392","0.012330456347017682","6293","629.5962030000001","0.16425113984792278","0.4629048522112648","0.01218","48.42229430846359","1.0629340560292322","1.2917953569553227","-0.22886130092609047","90.9241301103435","0.09863025226387423","7.996945996428726","98.92107610677222","0.009719736247424948","206.1854056029232","5.496121","5.490185189319999","0.011467667870744089","2.4779","","12.8727","18.103719769999998","24.12783847","0.43504989256345417","0.22754567078797255","771","2028-03-17","3.83013698630137","0.03879455865198924","1.3","A+","8","民营企业","浙江","机械设备","通用设备","其他通用机械","73","507","0/15 | 30","580","157"
"127020.SZ","中金转债","2024-05-20","126.001","127.13","125.327","126.864","0.020578250446478874","0.014133145800918845","中金岭南","5.05","4.91","5.02","0.043659043659043606","0.039337474410423345","171777","21692.2947018","0.1596267330396687","0.31188274925925963","0.01992","113.06306306306305","0.1220640637450201","0.13460545596770812","-0.01254139222268802","107.1009817466553","0.18452695699927046","28.912351148753785","136.01333289540906","-0.07211922133472903","139.070406374502","30.22579","38.3456462256","0.05657042412110393","1.4722","30.9111","0.2808","187.61321440999998","187.62705078","0.6231873773856832","0.20437163013643356","1376","2026-07-19","2.1671232876712327","-0.054738092339740155","1.3","AA+","6+","地方国有企业","广东","有色金属","基本金属","铅锌","462","118","0/15 | 30","580","158"
"113664.SH","大元转债","2024-05-20","121.198","121.89","121.017","121.421","0.00219553464570188","-0.00989929464705297","大元泵业","21.92","21.67","21.77","0.00045955882352921584","-0.009103322681995318","9147","1112.0302","0.1863177194795114","0.2854020923614892","0.041356000000000004","97.71095152603232","0.24265497473587505","0.23031260623313332","0.01234236850274173","100.01812645516176","0.21398994665665105","26.102633538119875","126.12075999328164","-0.038706319279874446","145.6864974735875","4.49931","5.4631071951","0.02035526963478601","2.1988","13.6441","2.0229","36.291325390000004","36.291325390000004","0.3458413188590767","0.15053479409725135","503","2028-12-04","4.5479452054794525","-0.0015217974877489327","1.3","AA-","8","民营企业","浙江","机械设备","通用设备","其他通用机械","386","194","0/15 | 30","580","156"
"128056.SZ","今飞转债","2024-05-20","122.2","122.971","121.703","121.962","-0.0027555417460486398","0.004372853738009885","今飞凯达","4.69","4.61","4.63","-0.006437768240343367","0.024336283318913354","4391","536.581715","0.19143915658036975","0.38973315224063243","0.0018","99.56989247311827","0.22488833693304544","0.2158109909111913","0.009077346021854144","110.19710562657946","0.10676228115543962","14.084705058128783","124.28181068470823","-0.01902076617887727","144.45083369330456","1.718644","2.09609259528","0.025599141765410532","1.0414","37.2826","0.6264","23.09816257","27.71756093","0.6434399003691725","0.07562327004795368","1887","2025-02-27","0.7780821917808219","-0.07300610358532372","1.3","A+","8","民营企业","浙江","交运设备","汽车","汽车零部件","397","183","0/15 | 30","580","159"
"127027.SZ","能化转债","2024-05-20","126.51","128.5","126.383","128.3","0.014951348785697371","0.0011861285782099884","甘肃能化","3.66","3.54","3.65","0.028169014084507005","0.01388888909861441","57159.1","7304.6543794","0.1322398560140096","0.24597833649484682","0.033047","117.74193548387096","0.08967123287671241","0.11428082855005753","-0.024609595673345114","106.80408359828022","0.20126492993069345","30.463097315690717","137.26718091397095","-0.06989229083375625","137.26712328767127","19.464155","24.972510865","0.02925078066394106","1.186","14.8415","1.7881","108.95356591000001","195.3404991","0.4508835712038468","0.12784092894231783","1215","2026-12-09","2.558904109589041","-0.048226457962800645","1.3","AA+","6","地方国有企业","甘肃","化石能源","煤炭","煤炭开采洗选","481","98","0/15 | 30","579","161"
"113046.SH","金田转债","2024-05-20","107.6","109.558","107.6","109.53","0.019917870212587507","0.016897224086249718","金田股份","6.95","6.7","6.91","0.042232277526395245","0.043806646809156025","47579","5174.6596","0.06526031231631796","0.25314426589993894","0.012787999999999999","65.49763033175356","0.6722742402315485","0.7108149512265423","-0.03854071099499379","106.04335923317761","0.03287938812986546","3.6127685317233933","109.656127764901","-0.001151536244873519","176.75742402315484","14.99867","16.428043251","0.031498940689025826","1.2876","18.5405","0.0918","101.74237662","102.19144024","0.6672418987850572","0.16075752736646232","1135","2027-03-21","2.8383561643835615","0.012190641825900723","1.3","AA+","","民营企业","浙江","有色金属","基本金属","铜","163","416","0/15 | 30","579","160"
"127070.SZ","大中转债","2024-05-20","122.99","123.9","121.632","122.8","0.005296636185766923","0.004811311507788352","大中矿业","11.3","11.03","11.23","0.017210144927536364","0.0035746202710182917","31082.6","3825.2758755000004","0.13394674974504567","0.2555034035312815","0.026373","101.53707052441229","0.20941050756901158","0.20145817160365795","0.007952335965353635","104.86832512518991","0.17099228821861678","25.44614451035897","130.31446963554887","-0.06119274947515363","143.74105075690116","15.190491","18.653922947999998","0.020506549138019955","2.8633","14.2413","3.9535","82.57063773","169.35082433","0.5966844547908926","0.11014958457864153","588","2028-08-16","4.2465753424657535","-0.011966617380857757","1.3","AA","7+","民营企业","内蒙古","钢铁","铁矿石","铁矿石","407","172","0/15 | 30","579","162"
"127077.SZ","华宏转债","2024-05-20","116","118.178","115.984","117.249","0.004678542968046928","-0.0056902984951092694","华宏科技","9.72","9.5","9.55","-0.009336099585062207","-0.004171011448064421","37306.1","4377.7420746","0.2029883423518023","0.46794870499963065","0.020877","85.72710951526034","0.36770037696335045","0.3502646847874633","0.01743569217588714","100.04479875795447","0.1719649742478755","31.178479219481797","131.22327797743625","-0.1191846239834562","154.01903769633503","5.14924","6.0374324076","0.07250999728111639","1.5616","","0.8779","48.61606056","55.53545529","0.3627180993285544","0.10871311626191225","497","2028-12-01","4.53972602739726","0.006356160594159849","1.3","AA-","7","民营企业","江苏","机械设备","专用设备","其他专用机械","316","262","0/15 | 30","578","165"
"113576.SH","起步转债","2024-05-20","123.54","129.299","123.54","127.706","0.035918817631694244","0.06932268270109754","ST起步","2.02","1.93","2.02","0.05208333333333348","0.16763005870720815","119576","15286.7172","0.2841770314780426","0.3815153275685388","0","115.42857142857143","0.10636386138613863","0.12391443186400469","-0.017550570477866068","67.2003772889941","0.9003762352524074","32.81087238019001","100.01124966918411","0.21686334495494253","138.34238613861388","1.4973000159999998","1.91214195843296","0.7994551415276605","42.6025","","4.2633","10.8812291","10.8812291","0.9412117283192477","0.17572848993988738","1475","2026-04-09","1.8904109589041096","-0.04363581407700529","1.3","B-","9","民营企业","浙江","纺织服装","服装家纺","服饰辅料","474","104","0/15 | 30","578","163"
"123063.SZ","大禹转债","2024-05-20","117.18","117.393","116.705","116.939","-0.0022184489628751525","-0.0009227062596697255","大禹节水","3.97","3.87","3.88","-0.017721518987341867","-0.012779308121628308","13483.9","1577.8597765","0.1199294796971376","0.3131135073144859","0.025897999999999997","84.34782608695652","0.3863902061855671","0.3675807342784109","0.01880947190715615","114.44314382300189","0.021808699880337068","11.45842620544434","125.90157002844623","-0.07664312187077216","155.5780206185567","6.345454","7.42031045306","0.02126406686730094","1.8004","68.1258","0.9625","27.189572889999997","33.2825858","0.7033978059674545","0.22294873654498323","1370","2026-07-27","2.1890410958904107","0.028989922343793263","1.3","AA-","8+","民营企业","甘肃","农林牧渔","农业","农业服务","304","274","0/15 | 30","578","164"
"127040.SZ","国泰转债","2024-05-20","117.798","118.728","117.798","118.09","0.002776763499571233","0.004047137246496524","江苏国泰","7.68","7.51","7.53","-0.011811023622047223","-0.03213367603248862","24084.4","2848.1219546","0.1086230306741701","0.2801427613175344","0.0332","88.38028169014085","0.3361577689243027","0.3192161880655171","0.01694158085878561","103.94890735186807","0.13603887725595998","15.296413674942059","119.24532102681013","-0.009783394248540356","151.70577689243026","39.87161","47.084384249","0.006048973561038955","0.8156","8.1445","0.3306","120.27149444999999","122.55916303999999","0.4855283792379336","0.384176777003878","1015","2027-07-06","3.1315068493150684","-0.01738067052846906","1.3","AA+","5","地方国有企业","江苏","商贸零售","贸易","贸易","330","247","0/15 | 30","577","167"
